ts_code,trade_date,name,industry,label_true_breakout,path_source,score_total,rank_global_after_merge,rank_bucket,buy_date,buy_open_t1,close_t1,close_t2,close_t3,ret_t1,ret_t2,ret_t3,win_t1,win_t2,win_t3
000591.SZ,20260305,太阳能,新型电力,A,B,0.7675451027570462,2,top2,20260306,6.15,6.25,6.4,6.29,0.016260162601625883,0.04065040650406493,0.02276422764227637,True,True,True
002606.SZ,20260305,大连电瓷,电气设备,G,B,0.7572986395934254,3,top3,20260306,14.3,13.94,14.08,14.19,-0.025174825174825277,-0.015384615384615441,-0.007692307692307776,False,False,False
600236.SH,20260305,桂冠电力,水力发电,C,A,0.8374278006981912,1,top1,20260306,10.86,10.95,10.43,10.29,0.008287292817679592,-0.03959484346224673,-0.0524861878453039,True,False,False
003035.SZ,20260306,南网能源,新型电力,A,A,0.846766105998096,1,top1,20260309,8.72,9.58,9.65,10.09,0.09862385321100908,0.10665137614678888,0.15711009174311918,True,True,True
600873.SH,20260306,梅花生物,食品,A,B,0.7373365156583357,2,top2,20260309,11.91,11.84,11.47,12.62,-0.005877413937867337,-0.03694374475230899,0.0596137699412258,False,False,True
603097.SH,20260306,江苏华辰,电气设备,C,B,0.7349968096433797,3,top3,20260309,40.0,40.86,41.55,41.09,0.021500000000000075,0.03874999999999984,0.027249999999999996,True,True,True
000048.SZ,20260309,京基智农,农业综合,A,B,0.7005110782487264,3,top3,20260310,18.63,19.19,19.54,20.21,0.03005904455179831,0.04884594739667203,0.08480944712828786,True,True,True
001267.SZ,20260309,汇绿生态,通信设备,A,A,0.837856236115519,1,top1,20260310,43.8,45.68,49.1,46.03,0.04292237442922375,0.12100456621004585,0.0509132420091325,True,True,True
603105.SH,20260309,芯能科技,电气设备,G,B,0.7252541098622058,2,top2,20260310,10.67,10.66,10.95,10.9,-0.0009372071227741197,0.026241799437675573,0.021555763823805085,False,True,True
000927.SZ,20260310,中国铁物,仓储物流,A,B,0.7297253362078399,2,top2,20260311,2.97,3.05,3.04,3.07,0.026936026936026813,0.023569023569023573,0.03367003367003352,True,True,True
