trade_date,stock_code,stock_name,ts_code,label_class,label_A_high,label_A_mid,label_A_low,label_C,label_G,path_source,in_C2A,in_ech2_s2,in_mainline_current,mainline_channel,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,ret_t1_close,ret_t2_close,ret_t3_close
20260130,601600.SH,中国铝业,601600.SH,C,0,0,0,1,0,,False,False,False,none,,0.39647550111358576,0.29194608187767024,0.8339487882768118,0.5461121157323688,0.8212844036697248,,-0.02229054573405065,0.009992313604919367,0.03305149884704073
20260130,601789.SH,宁波建工,601789.SH,G,0,0,0,0,1,,False,False,False,none,,0.7221269487750557,0.5104037099129306,0.26410047321421615,0.4307692307692309,0.4965137614678899,,0.0,0.021235521235521304,0.01930501930501949
20260130,601808.SH,中海油服,601808.SH,C,0,0,0,1,0,,False,False,False,none,,0.2888752783964365,0.35084635768752365,0.8845957970535614,0.6903553299492384,0.8561467889908256,,-0.023373341756159127,-0.017056222362602624,0.0018951358180669953
20260130,603010.SH,万盛股份,603010.SH,G,0,0,0,0,1,,False,False,False,none,,0.2530038975501113,0.7208033637986048,0.8666365874224784,0.9270072992700732,0.8154128440366972,,0.009975062344139696,0.02244389027431426,-0.0016625103906898753
20260130,603061.SH,金海通,603061.SH,C,0,0,0,1,0,,False,False,False,none,,0.2812973273942094,0.45667486885511865,0.8543744837359031,0.6175309291918926,0.9985321100917431,,-0.05613084624879994,-0.03833493347963246,-0.021944863530379832
20260130,603138.SH,海量数据,603138.SH,C,0,0,0,1,0,,False,False,False,none,,0.42128062360801777,0.18452219998918395,0.6372358831548293,0.5430579964850614,0.9075229357798165,,-0.04909706546275383,-0.028216704288939076,-0.05586907449209921
20260130,603173.SH,福斯达,603173.SH,G,0,0,0,0,1,,False,False,False,none,,0.4327783964365256,0.4690254718511708,0.8541841808583229,0.5815533980582521,0.7666055045871559,,-0.00872817955112204,0.0006234413965087171,-0.005403158769742289
20260130,603308.SH,应流股份,603308.SH,G,0,0,0,0,1,,False,False,False,none,,0.5528619153674833,0.4690254718511708,0.752038655256959,0.4385026737967912,0.9009174311926605,,-0.03081664098613257,0.023690292758089315,0.05392912172573183
20260130,603316.SH,诚邦股份,603316.SH,C,0,0,0,1,0,,False,False,False,none,,0.2256904231625835,0.5104037099129306,0.5790744977114415,0.754985754985755,0.3963302752293578,,-0.019204389574759895,-0.010288065843621408,-0.041838134430727036
20260130,603363.SH,傲农生物,603363.SH,C,0,0,0,1,0,,False,False,False,none,,0.6988808463251669,0.3774268563084744,0.31302383194269656,0.2945736434108526,0.11706422018348624,,-0.05299539170506906,-0.05069124423963123,-0.041474654377880116
20260130,603391.SH,力聚热能,603391.SH,A,0,0,1,0,0,,False,False,False,none,,0.5983351893095767,0.6008260775512412,0.9406936795949085,0.4853556485355645,0.5911926605504587,,0.000976153953423653,-0.0030679124250453382,-0.05034165388369827
20260130,603395.SH,红四方,603395.SH,C,0,0,0,1,0,,False,False,False,none,,0.6208184855233853,0.6062205938023904,0.9096349888532879,0.5448717948717945,0.7299082568807339,,-0.02718750000000003,-0.01968749999999997,-0.014062499999999978
20260130,603530.SH,神马电力,603530.SH,G,0,0,0,0,1,,False,False,False,none,,0.34958240534521157,0.5499770158455465,0.6556292127197314,0.6281938325991191,0.7185321100917431,,0.0181582360570689,0.03782965845222663,0.026588845654993642
20260130,603556.SH,海兴电力,603556.SH,G,0,0,0,0,1,,False,False,False,none,,0.5423942093541203,0.3114961332540155,0.8401683928658911,0.47590361445783147,0.6293577981651376,,-0.0056381342901078435,0.02050230650948226,-0.020246027678113898
20260130,603568.SH,伟明环保,603568.SH,C,0,0,0,1,0,,False,False,False,none,,0.6656570155902004,0.36912552052349795,0.968530725676682,0.3669985775248935,0.6585321100917432,,-0.039571005917159785,-0.015902366863905337,-0.010355029585798703
20260130,603618.SH,杭电股份,603618.SH,A,1,0,0,0,0,,False,False,False,none,,0.3491703786191536,0.5499770158455465,0.9367335275516707,0.6686046511627907,0.7559633027522936,,0.0,0.0995975855130784,0.2092555331991952
20260130,603861.SH,白云电器,603861.SH,G,0,0,0,0,1,A,True,False,True,main_channel,0.8804193932183225,0.49840200445434296,0.5499770158455465,1.0,0.47927927927927927,0.9611009174311926,1.0,0.0,-0.003829321663019747,-0.024617067833698214
20260130,603867.SH,新化股份,603867.SH,A,0,1,0,0,0,,False,False,False,none,,0.3283296213808463,0.7208033637986048,0.5790069263872281,0.6526772793053542,0.7805504587155964,,-0.00586004825922104,0.04205446397793855,0.0334367459496725
20260130,603876.SH,鼎胜新材,603876.SH,G,0,0,0,0,1,,False,False,False,none,,0.5998385300668151,0.29194608187767024,0.9294798215737442,0.40661478599221795,0.7878899082568808,,0.007836045810729386,0.021097046413502296,0.024110910186859513
20260130,603926.SH,铁流股份,603926.SH,G,0,0,0,0,1,,False,False,False,none,,0.16370267260579063,0.6503298902168623,0.9970629673910618,0.7406764960971378,0.9856880733944954,,-0.022770398481973486,-0.014421252371916604,0.020872865275142205
20260130,603999.SH,读者传媒,603999.SH,G,0,0,0,0,1,,False,False,False,none,,0.7607572383073496,0.2309907522578552,0.8864857328497607,0.368421052631579,0.7161467889908257,,0.007884362680683266,0.024967148488830526,0.036793692509855314
20260130,605599.SH,菜百股份,605599.SH,G,0,0,0,0,1,,False,False,False,none,,0.19830178173719373,0.47476475041912275,0.943008280022316,0.7176616915422885,0.9431192660550459,,0.07090103397341219,0.1782373215164943,0.24224519940915812
20260202,000089.SZ,深圳机场,000089.SZ,C,0,0,0,1,0,,False,False,False,none,,0.30254175946547884,0.08772510951273593,0.841580331497049,1.0,0.6375641966250917,,-0.009628610729023324,0.005502063273727709,0.004126547455295837
20260202,000599.SZ,青岛双星,000599.SZ,G,0,0,0,0,1,A,False,False,False,none,0.7699884823711495,0.20087416481069043,0.4924557893029041,0.9638850398998129,0.8671875000000001,0.8741746148202495,2.0,0.022222222222222143,0.09444444444444433,0.030555555555555447
20260202,000631.SZ,顺发恒能,000631.SZ,C,0,0,0,1,0,,False,False,False,none,,0.1091815144766147,0.036957168352171325,0.8609258535466967,0.8582677165354333,0.9350696991929567,,-0.019323671497584516,-0.09420289855072461,-0.07246376811594202
