trade_date,stock_code,stock_name,ts_code,input_tier,path_source,in_C2A,in_ech2_s2,in_mainline_current,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,label_A_high,label_A_mid,label_A_low,label_C,label_G,ret_t1_close,ret_t2_close,ret_t3_close
20250801,603488.SH,展鹏科技,603488.SH,main_channel,B,True,False,True,0.8285170115717401,0.7871436525612472,0.12419555459412687,0.949154240566942,0.21428571428571416,0.8902439024390244,3.0,0,0,0,0,1,0.07580824972129308,0.013377926421404673,0.01672240802675562
20250804,603683.SH,晶华新材,603683.SH,main_channel,A,True,False,True,0.8465596776810341,0.4899331848552338,0.46542236763831046,0.999043315702836,0.4790697674418606,0.9903357070193286,1.0,0,0,0,1,0,0.05485232067510548,0.008860759493670933,-0.009282700421940904
20250805,603270.SH,金帝股份,603270.SH,main_channel,B,True,False,True,0.7629098307283586,0.8085690423162584,0.5957019631171921,0.940332513259134,0.3784722222222218,0.8199389623601221,4.0,0,0,0,0,1,0.01538461538461533,0.008424908424908395,0.010622710622710585
20250806,600596.SH,新安股份,600596.SH,main_channel,A,True,False,True,0.8115604197623103,0.5687750556792873,0.5579809096317128,0.8499969805420975,0.4391891891891893,0.9374364191251272,1.0,0,0,0,1,0,-0.028403525954946218,-0.015670910871694477,-0.004897159647404559
20250807,603040.SH,新坐标,603040.SH,main_channel,A,True,False,True,0.8516946081877672,0.6173218262806236,0.7592139419176895,0.9412761805162052,0.37865235539654146,0.9715302491103203,2.0,0,1,0,0,0,-0.00019798059790132605,0.023559691150267348,0.0728568600277173
20250808,000633.SZ,合金投资,000633.SZ,main_channel,B,True,False,True,0.7768095540903968,0.7646659242761692,0.5554256124601158,0.9297004040507437,0.23566878980891723,0.7758007117437722,3.0,0,0,0,0,1,-0.012066365007541435,-0.015082956259426794,-0.010558069381598867
20250811,000050.SZ,深天马Ａ,000050.SZ,main_channel,B,True,False,True,0.8106295945007362,0.7911720489977728,0.8791506678924883,0.9824050305174891,0.3697478991596636,0.8272357723577236,3.0,0,0,0,1,0,0.005159958720330371,-0.0010319917440659854,-0.018575851393188847
20250812,000783.SZ,长江证券,000783.SZ,main_channel,B,True,False,True,0.7791481609587907,0.7884465478841871,0.4209480287707533,0.985326425017017,0.3723404255319147,0.7169715447154471,4.0,0,1,0,0,0,0.027237354085603016,0.018158236057068677,0.054474708171206254
20250813,603090.SH,宏盛股份,603090.SH,main_channel,A,True,False,True,0.879824509220702,0.43971046770601335,0.7989630090314206,0.9709310081207024,0.5290546400693843,0.9705284552845529,2.0,0,0,0,1,0,-0.012401352874858995,0.0033821871476888976,-0.08258173618940245
20250814,000545.SZ,金浦钛业,000545.SZ,main_channel,B,True,False,True,0.7767692499149281,0.6559214922048997,0.3757638851333081,0.9935419652966025,0.34693877551020397,0.8770325203252033,2.0,0,0,1,0,0,-0.008875739644970349,-0.059171597633136064,-0.06508875739644959
20250815,600392.SH,盛和资源,600392.SH,main_channel,A,True,False,True,0.8497314909956196,0.6412527839643652,0.7714158239143367,0.9008948066507325,0.3074380165289256,0.9776309100152516,2.0,0,1,0,0,0,0.07004219409282708,0.0303797468354432,0.004641350210970341
20250818,603486.SH,科沃斯,603486.SH,main_channel,A,True,False,True,0.85151343897031,0.5473775055679287,0.6357417121843059,0.9800143002723369,0.4230568596765779,0.9740721911540416,2.0,0,0,1,0,0,-0.025669033315128265,-0.002730748225013624,-0.001201529219005959
20250819,603119.SH,浙江荣泰,603119.SH,main_channel,B,True,False,True,0.7835731885468267,0.6478340757238307,0.8723703423287005,0.9630666977299833,0.3096464126330244,0.9583333333333334,3.0,0,0,1,0,0,0.012187500000000018,-0.002343749999999978,0.0546875
20250820,000050.SZ,深天马Ａ,000050.SZ,main_channel,B,True,False,True,0.789108715353593,0.7751920935412027,0.8050335298253204,0.9856938139562504,0.37903225806451657,0.6786985256736147,3.0,0,0,0,0,1,-0.008188331627430934,0.011258955987717645,0.003070624360286711
20250821,001206.SZ,依依股份,001206.SZ,main_channel,B,True,False,True,0.7710846482785984,0.6856124721603564,0.28505759558704236,0.9801687070833581,0.35538461538461574,0.7107269954245043,4.0,0,0,0,1,0,-0.022128958412819588,-0.03510110644792075,-0.054177794734834084
20250822,000980.SZ,众泰汽车,000980.SZ,main_channel,A,True,False,True,0.8770339624682278,0.5652227171492205,0.7929127683738035,0.9701193551945988,0.46666666666666645,0.9532520325203252,1.0,0,0,0,0,1,-0.007843137254901933,0.011764705882353121,-0.007843137254901933
20250825,603319.SH,美湖股份,603319.SH,main_channel,A,True,False,True,0.8792079930777136,0.6255957683741648,0.8151668379211509,0.9477035558090283,0.35709143268538523,0.9776536312849162,1.0,0,0,0,0,1,-0.019828510182207992,0.010718113612004254,-0.01393354769560562
20250826,000572.SZ,海马汽车,000572.SZ,main_channel,B,True,False,True,0.7623209627191363,0.6724582405345211,0.4450678708560922,0.9894284585379175,0.4745762711864397,0.6886744540375825,3.0,0,0,0,1,0,-0.0062893081761005165,-0.027253668763102756,-0.0251572327044024
20250827,600810.SH,神马股份,600810.SH,main_channel,B,True,False,True,0.7075485657699386,0.5786469933184856,0.18367719431074578,0.9840703282289118,0.566037735849056,0.7901422764227642,3.0,0,0,1,0,0,-0.0039525691699603405,-0.006916996047430679,0.006916996047430901
20250828,600895.SH,张江高科,600895.SH,main_channel,B,True,False,True,0.8038903026052469,0.6645267260579064,0.23810232004759074,1.0,0.3228840125391847,0.8897917724733367,3.0,0,0,0,1,0,-0.06290083867784901,-0.04884065120868275,-0.0604341391218548
20250829,601606.SH,长城军工,601606.SH,main_channel,B,True,False,True,0.8042629865410007,0.6464198218262807,0.6406359850738197,0.9873208129438125,0.2917127071823205,0.9974606399187405,3.0,0,0,0,1,0,-0.004225352112676051,0.020000000000000018,-0.08197183098591543
20250901,600037.SH,歌华有线,600037.SH,main_channel,B,True,False,True,0.7609467904326798,0.7123663697104677,0.6434481639716618,0.9977526605272243,0.39024390243902374,0.7595532039976485,4.0,0,0,0,1,0,-0.05624999999999991,-0.07395833333333324,-0.09999999999999987
20250902,601908.SH,京运通,601908.SH,main_channel,B,True,False,True,0.729067326959164,0.670445434298441,0.3725325834189606,0.9552849606721061,0.46428571428571425,0.8348030570252792,3.0,0,0,0,0,1,0.025821596244131495,-0.035211267605633645,0.018779342723004744
20250903,600298.SH,安琪酵母,600298.SH,main_channel,B,True,False,True,0.6958835324316711,0.7556570155902004,0.04799632253528743,0.9198046307898037,0.3486238532110083,0.8595769682726204,3.0,0,1,0,0,0,0.0007591093117407244,0.011386639676113308,0.04832995951416996
