signal_date,confirm_date,ts_code,name,industry,signal_score,rs20_xsec_q,atr_ratio_q60,box_range,pivot,entry_price,confirm_open,stop_loss,signal_grade,volume_ratio,ret_t1,ret_t1_open,ret_t2,ret_t2_open,ret_t3,ret_t3_open
20251229,20251230,000425.SZ,徐工机械,工程机械,68.11,0.8858954041204438,0.2,0.07371225577264655,11.38,11.4,11.17,11.01,B,1.18,0.015789473684210575,0.036705461056401045,0.012280701754385781,0.033124440465532645,0.03157894736842093,0.05282005371530896
20251230,20251231,000425.SZ,徐工机械,工程机械,67.28,0.8286436926968068,0.16666666666666666,0.07855251544571923,11.44,11.46,11.33,11.06,B,1.08,0.00698080279232105,0.01853486319505726,0.02617801047120416,0.03795233892321259,0.023560209424083656,0.035304501323918824
20251231,20260105,600869.SH,远东股份,电气设备,73.53,0.9224928819993673,0.16666666666666666,0.0708074534161491,8.08,8.1,8.16,7.76,A,1.46,0.1148148148148147,0.10661764705882337,0.22592592592592586,0.21691176470588225,0.3481481481481481,0.33823529411764697
20251231,20260105,600909.SH,华安证券,证券,70.1,0.8082885162923126,0.03333333333333333,0.06047197640117983,6.85,6.86,6.78,6.69,A,1.53,0.10787172011661794,0.1209439528023597,0.09766763848396498,0.11061946902654873,0.036443148688046545,0.04867256637168138
20251231,20260105,603885.SH,吉祥航空,空运,69.97,0.8576399873457766,0.31666666666666665,0.05645161290322579,14.45,14.48,14.6,13.89,B,1.04,0.05386740331491713,0.045205479452054886,0.046270718232044095,0.03767123287671237,0.037292817679557944,0.02876712328767117
20260105,20260106,000803.SZ,山高环能,环境保护,64.32,0.8915586468542523,0.36666666666666664,0.07579787234042545,7.35,7.36,7.96,6.99,A,2.15,0.059782608695652106,-0.02010050251256279,0.06385869565217384,-0.01633165829145722,0.11277173913043459,0.028894472361808976
20260105,20260106,600312.SH,平高电气,电气设备,66.73,0.8106228264306039,0.11666666666666667,0.06058921623123958,18.25,18.29,18.01,17.67,A,1.55,0.013121924548934016,0.028872848417545782,0.030617823947512335,0.046640755136035494,0.03827227993439042,0.05441421432537452
20260105,20260106,600885.SH,宏发股份,电气设备,76.24,0.8299083148909263,0.016666666666666666,0.05319493999351283,31.48,31.54,30.68,30.55,B,1.05,-0.0069752694990488084,0.020860495436766602,-0.015218769816106592,0.012385919165580184,0.0025364616360177283,0.030638852672751016
20260106,20260107,000776.SZ,广发证券,证券,74.51,0.8486571879936808,0.21666666666666667,0.06686291000841042,23.06,23.11,23.79,22.37,A,1.49,-0.03678061445261782,-0.06431273644388391,-0.03461704889658157,-0.062211013030685214,-0.017308524448290674,-0.045397225725094525
20260106,20260107,600312.SH,平高电气,电气设备,69.03,0.8139020537124803,0.06666666666666667,0.061323292092522894,18.3,18.34,18.49,17.72,A,1.21,0.027808069792802703,0.019469983775013633,0.03544165757906215,0.027041644131963194,0.03925845147219187,0.030827474310438197
20260106,20260107,601688.SH,华泰证券,证券,75.55,0.9121642969984203,0.31666666666666665,0.061424100156494535,24.36,24.41,25.57,23.42,B,1.1,-0.018844735764031117,-0.0633554947203755,-0.018844735764031117,-0.0633554947203755,-0.020483408439164297,-0.06491982792334772
20260106,20260107,603379.SH,三美股份,化工原料,71.91,0.8518167456556082,0.31666666666666665,0.06874999999999999,61.18,61.3,60.65,59.29,B,1.07,-0.03817292006525275,-0.027864798021434378,-0.034584013050570905,-0.02423742786479799,-0.06574225122349098,-0.05572959604286887
20260107,20260108,600089.SH,特变电工,电气设备,70.05,0.8153167349511503,0.016666666666666666,0.07730467135179815,23.79,23.84,24.28,22.89,B,1.14,0.04614093959731558,0.027182866556836993,0.043624161073825496,0.02471169686985175,0.14807046979865768,0.1272652388797364
20260107,20260108,600312.SH,平高电气,电气设备,68.25,0.8127954617081626,0.08333333333333333,0.07987048030221265,18.64,18.68,18.5,18.06,B,1.14,0.016595289079229136,0.026486486486486438,0.020342612419700146,0.030270270270270183,0.058886509635974305,0.06918918918918915
20260107,20260108,600352.SH,浙江龙盛,染料涂料,63.92,0.8219350772139931,0.23333333333333334,0.04691572545612519,11.15,11.17,11.5,10.92,A,1.33,0.009847806624887934,-0.019130434782608785,0.009847806624887934,-0.019130434782608785,0.0008952551477170445,-0.02782608695652178
20260108,20260109,000959.SZ,首钢股份,普钢,82.08,0.8991172761664565,0.2833333333333333,0.04950495049504951,5.06,5.07,5.05,4.88,A,1.34,0.027613412228796763,0.03168316831683171,0.021696252465483123,0.025742574257425765,0.03155818540433919,0.035643564356435675
20260108,20260109,600039.SH,四川路桥,建筑工程,71.19,0.8039092055485498,0.35,0.05048543689320384,10.19,10.21,10.3,9.85,B,1.02,0.023506366307541438,0.014563106796116276,0.0186092066601371,0.009708737864077666,-0.0009794319294810228,-0.009708737864077777
20260108,20260109,603499.SH,翔港科技,广告包装,68.25,0.8543505674653216,0.45,0.06858710562414266,21.24,21.28,21.87,20.26,A,1.53,0.07283834586466154,0.04389574759945125,0.04981203007518786,0.021490626428897874,0.03054511278195471,0.00274348422496562
20260109,20260112,603132.SH,金徽股份,铅锌,70.26,0.8230842005676443,0.23333333333333334,0.07717041800643082,15.35,15.38,15.72,14.77,A,1.31,0.020156046814044037,-0.001908396946564972,0.01820546163849146,-0.003816793893129833,0.057217165149545,0.03435114503816794
20260112,20260113,000977.SZ,浪潮信息,IT设备,74.96,0.8123620309050773,0.43333333333333335,0.05157552635297451,69.43,69.57,71.12,66.87,A,1.46,-0.00028748023573377246,-0.022075365579302675,-0.02069857697283306,-0.04204161979752541,-0.021273537444300605,-0.042604049493813245
