watch_date,ts_code,name,signal_score,close,pivot,trigger_price,stop_loss,rs20_xsec_q,box_range_pct,industry
20251218,601899.SH,紫金矿业,70.76,30.97,31.95,32.01,30.75,0.8602,5.91,铜
20251218,603040.SH,新坐标,70.22,78.73,83.79,83.96,80.16,0.8706,7.65,汽车配件
20251218,600993.SH,马应龙,66.85,29.74,29.44,29.5,28.73,0.8923,4.77,中成药
20251218,600298.SH,安琪酵母,65.93,42.14,42.15,42.23,41.02,0.867,5.55,食品
20251218,605099.SH,共创草坪,65.15,37.72,38.11,38.19,36.48,0.8312,7.71,文教休闲
20251218,603313.SH,梦百合,63.91,9.56,9.64,9.66,9.33,0.8656,6.9,家居用品
20251218,000157.SZ,中联重科,62.8,8.39,8.73,8.75,8.51,0.8285,6.08,工程机械
20251218,601156.SH,东航物流,62.33,17.86,17.58,17.62,17.14,0.8787,7.73,仓储物流
20251219,603901.SH,永创智能,83.4,13.58,14.19,14.22,13.63,0.9108,7.07,专用机械
20251219,600795.SH,国电电力,82.0,5.88,6.0,6.01,5.87,0.8429,5.78,火力发电
20251219,601899.SH,紫金矿业,73.47,31.12,31.95,32.01,30.84,0.8357,5.88,铜
20251219,600298.SH,安琪酵母,70.5,44.59,42.47,42.55,41.16,0.8918,5.97,食品
20251219,600993.SH,马应龙,69.81,30.12,29.99,30.05,29.3,0.8601,6.54,中成药
20251219,603040.SH,新坐标,69.37,77.9,83.79,83.96,80.22,0.8298,7.73,汽车配件
20251219,000425.SZ,徐工机械,68.95,11.22,11.44,11.46,11.07,0.8388,6.77,工程机械
20251219,000672.SZ,上峰水泥,63.02,11.13,11.51,11.53,11.1,0.8022,6.83,水泥
20251222,603901.SH,永创智能,83.01,13.85,14.19,14.22,13.63,0.899,6.93,专用机械
20251222,600795.SH,国电电力,79.59,5.87,6.03,6.04,5.89,0.8597,6.3,火力发电
20251222,601899.SH,紫金矿业,75.49,32.53,31.95,32.01,30.75,0.9045,5.63,铜
20251222,600428.SH,中远海特,67.35,7.34,7.3,7.31,7.12,0.8072,4.77,水运
20251222,000672.SZ,上峰水泥,66.01,11.44,11.51,11.53,11.08,0.8619,6.64,水泥
20251223,000766.SZ,通化金马,86.33,28.54,29.1,29.16,28.29,0.9181,6.83,化学制药
20251223,603901.SH,永创智能,83.48,13.86,14.19,14.22,13.65,0.9145,6.93,专用机械
20251223,600795.SH,国电电力,82.42,5.91,6.03,6.04,5.89,0.8815,5.41,火力发电
20251223,001216.SZ,华瓷股份,80.35,17.31,17.61,17.65,17.11,0.924,7.11,家居用品
20251223,601168.SH,西部矿业,75.39,25.92,26.21,26.26,25.06,0.9073,7.37,铜
20251224,000766.SZ,通化金马,86.63,28.25,29.1,29.16,28.3,0.9272,6.9,化学制药
20251224,603901.SH,永创智能,83.72,14.1,14.19,14.22,13.66,0.9163,6.81,专用机械
20251224,600795.SH,国电电力,82.56,5.93,6.03,6.04,5.89,0.8503,5.06,火力发电
20251224,001216.SZ,华瓷股份,78.0,17.37,17.61,17.65,17.12,0.8462,7.08,家居用品
20251224,000672.SZ,上峰水泥,68.95,11.85,11.57,11.59,11.11,0.8924,6.92,水泥
20251225,000766.SZ,通化金马,86.52,28.34,28.99,29.05,28.19,0.9123,6.49,化学制药
20251225,603901.SH,永创智能,82.48,14.33,14.17,14.2,13.63,0.8332,6.56,专用机械
20251225,603766.SH,隆鑫通用,79.11,15.74,16.5,16.53,15.85,0.8305,7.31,摩托车
20251225,001216.SZ,华瓷股份,78.91,17.33,17.61,17.65,17.13,0.8635,7.1,家居用品
20251225,600362.SH,江西铜业,78.11,43.92,43.48,43.57,41.37,0.9164,7.88,铜
20251225,603379.SH,三美股份,72.77,60.07,59.38,59.5,57.59,0.8969,6.41,化工原料
20251225,601226.SH,华电科工,72.53,8.01,8.33,8.35,8.06,0.8454,7.99,建筑工程
