signal_date,ts_code,ret_t1,ret_t2,ret_t3
20260114,603458.SH,0.08298052497883135,0.047417442845046454,0.020321761219305623
20260114,002025.SZ,-0.0959522657635864,-0.11546524754071918,-0.10820835349137237
20260115,002250.SZ,0.03921568627450989,0.0481283422459895,0.04456327985739761
20260115,603716.SH,-0.07422451994091572,-0.08087149187592313,-0.09638109305760711
20260116,002342.SZ,-0.04850088183421519,-0.10317460317460314,-0.013227513227513255
20260116,600776.SH,-0.09981078524124876,-0.13055818353831605,-0.12015137180700086
20260119,600475.SH,-0.10606060606060619,-0.14309764309764317,-0.12247474747474751
20260119,002082.SZ,-0.003527336860670305,0.04761904761904745,0.021751910640799288
20260120,002290.SZ,0.12790697674418605,0.1298449612403101,0.05003523608174776
20260120,600552.SH,-0.024171270718231996,-0.04074585635359118,0.055248618784530246
20260121,600259.SH,0.07547169811320753,0.06145552560646905,0.13962264150943393
20260121,600094.SH,0.017786561264822254,0.07905138339920947,0.035573122529644285
20260122,605118.SH,0.08190772420943504,0.09564541213063782,0.053136340072576616
20260122,603650.SH,-0.017619047619047645,-0.06285714285714283,-0.0552380952380952
20260123,002119.SZ,-0.02088772845953002,0.07702349869451686,0.1849434290687555
20260126,600230.SH,0.06302757456387176,0.16938660664040528,0.22341024198086656
20260127,603926.SH,0.03505843071786319,0.018781302170283842,0.10016694490818034
20260127,002181.SZ,-0.07652622527944974,0.015477214101461634,0.05503009458297492
20260128,000880.SZ,-0.07416529830322938,-0.033935413245758106,-0.07416529830322938
20260128,600800.SH,0.045751633986928164,0.006535947712418277,-0.04357298474945537
20260129,002498.SZ,-0.09841827768014066,-0.008787346221441283,0.03514938488576447
20260129,002112.SZ,-0.08558139534883724,0.006046511627906925,0.10651162790697666
20260130,605287.SH,0.057501652346331866,0.1348314606741572,0.10508922670191656
20260202,000751.SZ,0.011308562197092087,-0.05492730210016172,-0.10339256865912771
20260202,002237.SZ,-0.03442711135018828,-0.018827326519634258,-0.06939214631522317
20260203,600871.SH,0.0869565217391306,0.04347826086956519,0.08333333333333348
20260203,601388.SH,-0.00992555831265507,-0.04962779156327546,-0.017369727047146455
20260204,002218.SZ,0.12225705329153613,0.13479623824451425,0.24764890282131669
20260204,002259.SZ,0.051693404634581164,0.12477718360071277,0.012477718360071277
20260205,603052.SH,0.05527488855869245,0.0065378900445765,-0.06924219910846952
20260206,601869.SH,0.19670090258325557,0.31640211640211624,0.35860566448801734
20260209,603806.SH,0.016384778012684897,-0.005813953488372214,-0.011099365750528611
20260209,002358.SZ,0.005221932114882533,0.007832898172323688,0.0809399477806787
20260210,001316.SZ,-0.09387755102040807,-0.10799319727891143,-0.11819727891156451
20260210,002853.SZ,-0.005080978088282007,-0.01714830104795173,-0.03683709114004452
20260211,603285.SH,-0.029991894082680326,-0.03917860037827603,-0.03647662793839512
20260211,002943.SZ,-0.0018663680477790656,-0.05051636182655217,-0.12380241383600854
20260212,002009.SZ,0.1186440677966103,0.12586315128687997,0.04300062774639035
20260212,002970.SZ,-0.004393900232618098,-0.01770483329025574,-0.028043422072887125
20260213,603331.SH,0.17679558011049723,0.10773480662983426,0.03812154696132586
20260213,001330.SZ,0.05898617511520743,-0.047004608294930805,-0.14193548387096766
20260224,002440.SZ,0.016995241332427025,-0.0013596193065942286,0.009517335146159045
20260224,601869.SH,0.0024122807017543657,0.035964912280701755,0.014517543859649207
20260226,600330.SH,-0.03597526700393483,-0.00843170320404718,0.008993816750983763
20260226,600176.SH,-0.013858497447118978,0.03391684901531722,-0.03537563822027723
